event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
62,2026-03-28T20:00,2026-03-28T22:00,3,2,0.4,0.7,1.2,0.661,0.786,0.0,10
63,2026-03-29T09:00,2026-03-29T10:00,2,2,4.75,8.5,9.5,1.116,0.988,0.33,13
64,2026-03-30T00:00,2026-03-30T02:00,3,3,0.667,1.3,2.0,0.826,0.128,0.0274,5
65,2026-03-30T08:00,2026-03-30T08:00,1,1,1.5,1.5,1.5,0.0,0.933,0.1212,2
66,2026-03-30T11:00,2026-03-30T14:00,4,3,1.525,3.3,6.1,0.986,0.75,0.222,9
67,2026-03-31T00:00,2026-03-31T00:00,1,1,1.1,1.1,1.1,0.0,1.0,0.0236,2
68,2026-03-31T03:00,2026-03-31T03:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,6
69,2026-03-31T10:00,2026-03-31T11:00,2,2,3.3,5.1,6.6,0.771,0.937,0.48,2
70,2026-03-31T14:00,2026-03-31T14:00,1,1,1.8,1.8,1.8,0.0,0.889,0.033,32
71,2026-04-01T23:00,2026-04-02T00:00,2,2,1.8,2.4,3.6,0.471,0.562,0.0473,2
72,2026-04-02T03:00,2026-04-02T03:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,18
73,2026-04-02T22:00,2026-04-02T22:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,2
74,2026-04-03T01:00,2026-04-03T03:00,3,2,1.3,3.2,3.9,1.271,0.99,0.4978,7
75,2026-04-03T11:00,2026-04-03T13:00,3,2,0.433,0.9,1.3,0.961,0.296,0.0,2
76,2026-04-03T16:00,2026-04-03T18:00,3,3,1.733,2.0,5.2,0.145,0.9,0.1375,9
77,2026-04-04T04:00,2026-04-04T04:00,1,1,2.8,2.8,2.8,0.0,0.821,0.0,23
78,2026-04-05T04:00,2026-04-05T06:00,3,3,1.3,3.3,3.9,1.332,0.555,0.1984,4
79,2026-04-05T11:00,2026-04-05T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
80,2026-04-05T16:00,2026-04-05T18:00,3,3,0.667,1.3,2.0,0.826,0.372,0.0555,3
81,2026-04-05T22:00,2026-04-06T03:00,6,5,1.517,4.7,9.1,1.22,0.644,0.5088,42
82,2026-04-07T22:00,2026-04-07T22:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,194
83,2026-04-16T01:00,2026-04-16T04:00,4,3,0.55,1.3,2.2,0.921,0.875,0.0506,10
84,2026-04-16T15:00,2026-04-16T16:00,2,2,0.85,1.0,1.7,0.25,0.928,0.0,14
85,2026-04-17T07:00,2026-04-17T11:00,5,5,1.06,2.6,5.3,0.845,0.0,0.14,65
86,2026-04-20T05:00,2026-04-20T10:00,6,6,2.017,7.1,12.1,1.263,0.691,0.23,23
87,2026-04-21T10:00,2026-04-21T10:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,38
88,2026-04-23T01:00,2026-04-23T12:00,12,11,2.3,5.7,27.6,0.811,0.454,0.244,12
89,2026-04-24T01:00,2026-04-24T01:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,5
90,2026-04-24T07:00,2026-04-24T07:00,1,1,1.0,1.0,1.0,0.0,0.5,0.0,83
91,2026-04-27T19:00,2026-04-27T23:00,5,5,1.8,5.2,9.0,1.125,0.752,0.11,5
92,2026-04-28T05:00,2026-04-28T05:00,1,1,3.5,3.5,3.5,0.0,0.857,0.1812,3
93,2026-04-28T09:00,2026-04-28T11:00,3,2,3.5,7.9,10.5,1.141,0.582,0.4,3
94,2026-04-28T15:00,2026-04-28T17:00,3,3,0.767,1.4,2.3,0.742,0.373,0.042,3
95,2026-04-28T21:00,2026-04-28T22:00,2,2,0.6,0.9,1.2,0.707,0.445,0.0,2
96,2026-04-29T01:00,2026-04-29T07:00,7,5,0.714,2.9,5.0,1.375,0.452,0.1377,67
97,2026-05-02T03:00,2026-05-02T06:00,4,3,0.325,0.5,1.3,0.387,0.392,0.0,13
98,2026-05-02T20:00,2026-05-02T22:00,3,3,2.133,3.4,6.4,0.728,0.657,0.258,2
99,2026-05-03T01:00,2026-05-03T03:00,3,3,2.8,6.1,8.4,1.028,0.567,0.48,25
100,2026-05-04T05:00,2026-05-04T08:00,4,3,0.4,0.6,1.6,0.456,0.0,0.0,9
101,2026-05-04T18:00,2026-05-04T20:00,3,3,0.467,0.6,1.4,0.247,0.472,0.0,8
102,2026-05-05T05:00,2026-05-05T09:00,5,4,0.84,1.3,4.2,0.628,0.401,0.0,41
103,2026-05-07T03:00,2026-05-07T03:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,4
104,2026-05-07T08:00,2026-05-07T09:00,2,2,1.0,1.2,2.0,0.283,0.896,0.022,2
105,2026-05-07T12:00,2026-05-07T12:00,1,1,1.0,1.0,1.0,0.0,0.5,0.0,4
106,2026-05-07T17:00,2026-05-07T18:00,2,2,1.05,1.8,2.1,1.01,0.416,0.073,3
107,2026-05-07T22:00,2026-05-08T04:00,7,7,3.9,7.0,27.3,0.671,0.814,0.695,13
108,2026-05-08T18:00,2026-05-09T03:00,10,8,2.9,11.2,29.0,1.441,0.533,0.085,48
109,2026-05-11T04:00,2026-05-11T06:00,3,3,0.467,0.7,1.4,0.446,0.758,0.0,30
110,2026-05-12T13:00,2026-05-12T13:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,35
111,2026-05-14T01:00,2026-05-14T07:00,7,7,1.857,3.6,13.0,0.613,0.642,0.5103,9
112,2026-05-14T17:00,2026-05-14T21:00,5,4,0.52,0.9,2.6,0.712,0.45,0.0,6
113,2026-05-15T04:00,2026-05-15T13:00,10,9,0.79,1.7,7.9,0.7,0.48,0.1593,40
114,2026-05-17T06:00,2026-05-17T09:00,4,3,0.3,0.5,1.2,0.72,0.442,0.0,15
115,2026-05-18T01:00,2026-05-18T04:00,4,4,1.1,1.7,4.4,0.58,0.505,0.0394,4
116,2026-05-18T09:00,2026-05-18T12:00,4,4,0.575,0.9,2.3,0.411,0.25,0.0,6
117,2026-05-18T19:00,2026-05-18T19:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,4
118,2026-05-19T00:00,2026-05-19T11:00,12,11,2.042,4.7,24.5,0.778,0.316,0.2791,5
119,2026-05-19T17:00,2026-05-20T18:00,26,23,1.423,4.4,37.0,0.829,0.381,0.5525,3
120,2026-05-20T22:00,2026-05-21T09:00,12,12,1.825,4.9,21.9,0.912,0.617,0.7605,3
121,2026-05-21T13:00,2026-05-21T19:00,7,7,1.086,2.1,7.6,0.486,0.103,0.1348,25
122,2026-05-22T21:00,2026-05-22T23:00,3,3,0.733,1.1,2.2,0.438,0.348,0.0183,2
123,2026-05-23T02:00,2026-05-23T08:00,7,5,0.8,3.6,5.6,1.571,0.732,0.5623,68
124,2026-05-26T05:00,2026-05-26T05:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,28
125,2026-05-27T10:00,2026-05-27T10:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,47
126,2026-05-29T10:00,2026-05-29T10:00,1,1,0.7,0.7,0.7,0.0,0.143,0.0,23
127,2026-05-30T10:00,2026-05-30T10:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,11
128,2026-05-30T22:00,2026-05-31T01:00,4,4,0.425,0.8,1.7,0.588,0.594,0.0,2
129,2026-05-31T04:00,2026-05-31T05:00,2,2,0.4,0.5,0.8,0.354,0.467,0.0,3
130,2026-05-31T09:00,2026-05-31T10:00,2,2,0.95,1.3,1.9,0.521,0.385,0.0506,21
131,2026-06-01T08:00,2026-06-01T08:00,1,1,1.3,1.3,1.3,0.0,0.231,0.0619,8
132,2026-06-01T17:00,2026-06-01T21:00,5,5,0.9,1.8,4.5,0.724,0.546,0.2,6
133,2026-06-02T04:00,2026-06-02T04:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,2
134,2026-06-02T07:00,2026-06-02T07:00,1,1,1.5,1.5,1.5,0.0,0.4,0.1156,5
135,2026-06-02T13:00,2026-06-02T14:00,2,2,0.3,0.3,0.6,0.0,0.334,0.0,14
136,2026-06-03T05:00,2026-06-03T09:00,5,5,0.46,1.0,2.3,0.663,0.15,0.0,21
137,2026-06-04T07:00,2026-06-04T09:00,3,2,0.433,0.9,1.3,1.041,0.389,0.0,4
138,2026-06-04T14:00,2026-06-04T16:00,3,3,1.633,2.5,4.9,0.628,0.573,0.375,2
139,2026-06-04T19:00,2026-06-04T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
140,2026-06-04T23:00,2026-06-04T23:00,1,1,0.9,0.9,0.9,0.0,1.0,0.0,3
141,2026-06-05T03:00,2026-06-05T10:00,8,7,1.363,4.0,10.9,1.178,0.433,0.7,14
142,2026-06-06T01:00,2026-06-06T04:00,4,4,2.15,3.2,8.6,0.608,0.155,0.55,2
143,2026-06-06T07:00,2026-06-06T13:00,7,7,2.6,7.7,18.2,1.213,0.329,0.95,4
144,2026-06-06T18:00,2026-06-06T18:00,1,1,0.6,0.6,0.6,0.0,0.667,0.0,10
145,2026-06-07T05:00,2026-06-07T13:00,9,7,0.5,1.6,4.5,0.866,0.352,0.1268,2
146,2026-06-07T16:00,2026-06-07T21:00,6,5,2.767,7.5,16.6,1.222,0.277,0.765,3
147,2026-06-08T01:00,2026-06-08T06:00,6,6,2.433,3.6,14.6,0.549,0.646,0.65,2
148,2026-06-08T09:00,2026-06-08T18:00,10,8,1.6,5.5,16.0,1.09,0.39,0.6548,2
149,2026-06-08T21:00,2026-06-08T23:00,3,3,0.4,0.6,1.2,0.433,0.0,0.0,67
150,2026-06-11T19:00,2026-06-11T19:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,11
151,2026-06-12T07:00,2026-06-12T10:00,4,3,1.725,4.8,6.9,1.245,0.438,0.228,18
152,2026-06-13T05:00,2026-06-13T06:00,2,2,0.7,1.1,1.4,0.808,0.228,0.0195,6
153,2026-06-13T13:00,2026-06-13T13:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,9
154,2026-06-13T23:00,2026-06-14T10:00,12,11,2.65,12.2,31.8,1.235,0.594,0.77,4
155,2026-06-14T15:00,2026-06-15T11:00,21,21,3.186,9.1,66.9,0.75,0.572,0.935,4
156,2026-06-15T16:00,2026-06-15T19:00,4,4,2.15,6.9,8.6,1.477,0.457,0.2,5
157,2026-06-16T01:00,2026-06-16T15:00,15,14,2.067,5.8,31.0,0.879,0.604,0.72,2
158,2026-06-16T18:00,2026-06-16T18:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,6
159,2026-06-17T01:00,2026-06-17T10:00,10,8,0.66,2.9,6.6,1.244,0.46,0.2399,6
160,2026-06-17T17:00,2026-06-17T20:00,4,3,1.15,3.8,4.6,1.547,0.293,0.3605,4
161,2026-06-18T01:00,2026-06-18T13:00,13,12,1.862,4.5,24.2,0.815,0.23,0.3675,9
162,2026-06-18T23:00,2026-06-19T03:00,5,4,0.56,1.2,2.8,0.743,0.033,0.0435,2
163,2026-06-19T06:00,2026-06-19T06:00,1,1,1.2,1.2,1.2,0.0,0.75,0.0437,2
164,2026-06-19T09:00,2026-06-19T09:00,1,1,1.1,1.1,1.1,0.0,1.0,0.025,20
165,2026-06-20T06:00,2026-06-20T06:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,70
166,2026-06-23T05:00,2026-06-23T07:00,3,3,4.333,6.7,13.0,0.81,0.757,1.0,21
167,2026-06-24T05:00,2026-06-24T08:00,4,4,0.925,1.7,3.7,0.614,0.584,0.175,20
168,2026-06-25T05:00,2026-06-25T07:00,3,3,1.033,1.9,3.1,0.726,0.357,0.225,2
169,2026-06-25T10:00,2026-06-25T10:00,1,1,4.6,4.6,4.6,0.0,0.87,0.9,2
170,2026-06-25T13:00,2026-06-25T15:00,3,3,4.0,7.3,12.0,0.825,0.073,1.0,4
171,2026-06-25T20:00,2026-06-26T00:00,5,5,1.12,2.0,5.6,0.623,0.104,0.1286,4
172,2026-06-26T05:00,2026-06-26T17:00,13,12,1.554,8.7,20.2,1.516,0.269,0.5691,6
173,2026-06-27T00:00,2026-06-27T00:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,3
174,2026-06-27T04:00,2026-06-27T09:00,6,5,0.75,1.1,4.5,0.635,0.279,0.021,7
175,2026-06-27T17:00,2026-06-28T11:00,19,19,1.563,3.4,29.7,0.628,0.545,0.411,7
176,2026-06-28T19:00,2026-06-28T22:00,4,3,0.6,1.2,2.4,0.861,0.281,0.0177,7
177,2026-06-29T06:00,2026-06-29T07:00,2,2,1.0,1.3,2.0,0.424,0.572,0.0435,5
178,2026-06-29T13:00,2026-06-29T14:00,2,2,0.45,0.6,0.9,0.471,0.834,0.0,11
179,2026-06-30T02:00,2026-06-30T07:00,6,5,2.433,8.2,14.6,1.242,0.599,0.995,-1
